Category Name AR,Category Name English,Item Name Arabic,Description Arabic,Item Name English,Description English,Item img URL,item Price
الركن البدوي,Bedouin Corner,,,,,,
الركن البدوي,Bedouin Corner,مكرونة مبكبكة ضاني,"مكرونة تُطهى مع قطع لحم ضاني (الخروف) طرية، وتُخلط مع صلصة طماطم حارة وتوابل متنوعة، وتُطهى حتى تمتزج النكهات بشكل مثالي",Mutton MABAKBAKA PASTA,"Pasta cooked with tender pieces of Mutton Meat (lamb), mixed with spicy tomato sauce and various spices, and cooked until the flavors blend perfectly.",https://images.deliveryhero.io/image/talabat/MenuItems/%D9%85%D9%83%D8%B1%D9%88%D9%86%D9%87_%D9%85%D8%A8%D9%83%D8%A8%D9%83%D9%87_%D8%B6%D8%A7%D9%86%D9%89638578025544904424.jpg,456
الركن البدوي,Bedouin Corner,مكرونة مبكبكة كندوز,"مكرونة تُطهى مع قطع لحم كندوز (البقر الصغير) طرية، وتُخلط مع صلصة طماطم حارة وتوابل متنوعة، وتُطهى حتى تمتزج النكهات بشكل مثالي",Mutton MABAKBAKA PASTA,"Pasta cooked with tender pieces of Kandouz meat (baby cow), mixed with spicy tomato sauce and various spices, and cooked until the flavors blend perfectly.",https://images.deliveryhero.io/image/talabat/MenuItems/%D9%85%D9%83%D8%B1%D9%88%D9%86%D9%87_%D9%85%D8%A8%D9%83%D8%A8%D9%83%D9%87_%D9%83%D9%86%D8%AF%D9%88%D8%B2638578025565144093.jpg,400
الركن البدوي,Bedouin Corner,مضغوط لحمه,"طبق تقليدي يتكون من قطع لحم مطهية ببطء مع أرز و بهارات، يُطهى تحت ضغط حتى يصبح اللحم طريًا جدًا ويمتزج مع نكهات الأرز.",Mutton MABAKBAKA PASTA,"A traditional dish consisting of pieces of meat slow cooked with rice and spices, cooked under pressure until the meat is very tender and blends with the flavors of the rice.",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221003/369832b2-06a9-426e-8e32-60c98fb09d52.jpg,456
الركن البدوي,Bedouin Corner,مضغوط دجاج,"مشابه للمضغوط باللحم، ولكنه يُحضر باستخدام دجاج بدلاً من اللحم، ويُطهى مع أرز وبهارات حتى يصبح الدجاج طريًا والأرز مليئًا بالنكهات",Mutton MABAKBAKA PASTA,"Similar to Pressured with meat, but prepared using chicken instead of meat, and cooked with rice and spices until the chicken is tender and the rice is full of flavours.",https://images.deliveryhero.io/image/talabat/MenuItems/%D9%85%D8%B6%D8%BA%D9%88%D8%B7_%D8%AF%D8%AC%D8%A7%D8%AC638578024967845301.jpg,250.8
الركن البدوي,Bedouin Corner,مظبي لحمه,"لحم يُطهى ببطء على نار هادئة مع توابل وبهارات متنوعة، ويُشوى أحيانًا على الحجارة أو الفحم حتى يكتسب نكهة مميزة ويصبح طريًا ومليئًا بالعصارة",Mutton MABAKBAKA PASTA,"Meat cooked slowly over low heat with various spices and seasonings, sometimes grilled over stones or charcoal until it acquires a distinctive flavor and becomes tender and juicy.",https://images.deliveryhero.io/image/talabat/MenuItems/%D9%85%D8%B8%D8%A8%D9%89_%D9%84%D8%AD%D9%85%D9%87638578025328025661.jpg,456
الركن البدوي,Bedouin Corner,مظبي دجاج,"مشابه للمظبي باللحم، ولكنه يُحضر باستخدام دجاج، ويُطهى ببطء على نار هادئة أو يُشوى حتى يصبح الدجاج طريًا ومليئًا بالعصارة",Mutton MABAKBAKA PASTA,"Similar to Mathbi with meat, but prepared using chicken, slowly simmered or grilled until the chicken is tender and juicy.",https://images.deliveryhero.io/image/talabat/MenuItems/%D9%85%D8%B8%D8%A8%D9%89_%D8%AF%D8%AC%D8%A7%D8%AC638578025223225356.jpg,250.8
الركن البدوي,Bedouin Corner,زربيان لحمه,"طبق مكون من أرز و لحم، يُطهى ببطء مع زبادي، توابل و زعفران حتى يمتزج الأرز باللحم ويصبح طبق غنيًا بالنكهات والعصارة",Mutton MABAKBAKA PASTA,"A dish consisting of rice and meat, slowly cooked with yogurt, spices and saffron until the rice blends with the meat and the dish becomes rich in flavors and juiciness.",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221011/74e94bb2-3ec2-44f7-97d2-d8d9408623da.jpg,250.8
الركن البدوي,Bedouin Corner,زربيان دجاج,"مشابه للزربيان باللحم، ولكنه يُحضر باستخدام دجاج، ويُطهى مع أرز، زبادي، توابل و زعفران حتى يمتزج الأرز بالدجاج ويصبح الطبق غنيًا بالنكهات والعصارة",Mutton MABAKBAKA PASTA,"Similar to Zurbian with meat, but prepared using chicken, and cooked with rice, yogurt, spices and saffron until the rice blends with the chicken and the dish becomes rich in flavors and juiciness.",https://images.deliveryhero.io/image/talabat/MenuItems/%D8%B2%D8%B1%D8%A8%D9%8A%D8%A7%D9%86_%D8%AF%D8%AC%D8%A7%D8%AC638578023975738676.jpg,250.8
الركن البدوي,Bedouin Corner,فحسة ضاني,قطع لحم ضاني تُطهى ببطء مع توابل و أعشاب حتى تصبح طرية ومليئة بالعصارة,Mutton MABAKBAKA PASTA,Mutton meat pieces slowly cooked with spices and herbs until tender and juicy,https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221015/899102e1-7655-4900-8f74-87cd59818a50_original.jpg,456
