Category Name AR,Category Name English,Category Name French,Item Name Arabic,Description Arabic,Item Name English,Description English,Item Name French,Description French,Item img URL,item Price
المقبلات,Appetizers,Entrées,ميني إمبانادا (9),فطائر ذرة مقلية محشوة باللحم المفروم والبطاطس، تقدم مع صلصة آخي.,Miniempanadas (9),"Fried corn turnovers stuffed with minced meat and potato, served with Aji.",Miniempanadas (9),"Chaussons de maïs frits, farcis de viande hachée et de pommes de terre, servis avec de l'Aji.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(3).jpeg,16.00
المقبلات,Appetizers,Entrées,باتاكون (4),شرائح من الموز الأخضر المهروسة والمقلية، تقدم مع صلصة هوجاو الكريولية.,Patacon (4),"Flattened and fried pieces of green plantain, served with Hogao Creole sauce.",Patacon (4),"Morceaux de banane plantain verte aplatis et frits, servis avec une sauce Hogao créole.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(5).jpeg,12.00
المقبلات,Appetizers,Entrées,أصابع الجبن (8),أصابع من جبن الموزاريلا ملفوفة بعجينة زبدية ومقلية.,Palitos de Queso (8),"Mozzarella cheese sticks wrapped in buttery dough and fried.",Palitos de Queso (8),"Bâtonnets de mozzarella enveloppés dans une pâte beurrée et frits.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(7).jpeg,17.00
المقبلات,Appetizers,Entrées,مورسيلا مع بطاطس كريولا,نقانق دم كولومبية تحتوي على الأرز والنعناع والتوابل، تقدم مع أريبا.,Morcilla with Criolla,"Colombian blood sausage containing rice, mint and spices, served with arepa.",Morcilla avec Criolla,"Boudin noir colombien contenant du riz, de la menthe et des épices, servi avec une arepa.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(9).jpeg,14.00
المقبلات,Appetizers,Entrées,تشوريزو كولومبي مع بطاطس كريولا,تشوريزو كولومبي من لحم الخنزير المتبل بالكزبرة والكراث وتوابل خاصة، يقدم مع أريبا.,Colombian Chorizo with Criolla,"Colombian chorizo made with coarsely chopped pork seasoned with cilantro, shallot and special spices, served with arepa.",Chorizo colombien avec Criolla,"Chorizo colombien à base de porc haché grossièrement, assaisonné de coriandre, d'échalote et d'épices spéciales, servi avec une arepa.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(8).jpeg,14.00
المقبلات,Appetizers,Entrées,إمبانادا واحدة,فطيرة ذرة مقلية محشوة باللحم المفروم والبطاطس، تقدم مع صلصة آخي.,Empanada (1),"Fried corn turnover stuffed with minced meat and potato, served with Aji.",Empanada (1),"Chausson de maïs frit, farci de viande hachée et de pommes de terre, servi avec de l'Aji.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/bc9c318a9c96996e2d990faf2b0c65f6(2).jpeg,4.50
المقبلات,Appetizers,Entrées,إمبانادا (3),ثلاث فطائر ذرة محشوة باللحم والبطاطس، تقدم مع صلصة آخي.,Empanadas (3),"Three corn turnovers stuffed with beef and potato, served with Aji.",Empanadas (3),"Trois chaussons de maïs farcis au bœuf et aux pommes de terre, servis avec de l'Aji.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/bc9c318a9c96996e2d990faf2b0c65f6.jpeg,13.00
وجبات كولومبية,Individual Colombian Meals,Repas individuels colombiens,ليتشونا كولومبية,لحم خنزير منزوع العظم محشو بالأرز واللحم المفتت والبازلاء والتوابل، يقدم مع جلد مقرمش وأريبا.,Colombian Lechona,"Boneless pork stuffed with rice, shredded meat, peas and spices, cooked in the oven and served with crispy skin and arepa.",Lechona colombienne,"Porc désossé farci de riz, de viande effilochée, de pois et d'épices, cuit au four et servi avec peau croustillante et arepa.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(4).jpeg,17.00
وجبات كولومبية,Individual Colombian Meals,Repas individuels colombiens,كازويلا الفاصوليا,يخنة من الفاصوليا الحمراء مع الأرز الأبيض والموز الناضج والأريبا والتشوريزو والمورسيلا وتشيتشارون والأفوكادو والبيض.,Bean Casserole,"Red bean stew with white rice, ripe plantain, arepa, chorizo, morcilla, chicharron, avocado and an egg.",Casserole de haricots,"Ragoût de haricots rouges avec riz blanc, plantain mûr, arepa, chorizo, morcilla, chicharron, avocat et un œuf.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(1).jpeg,27.00
وجبات كولومبية,Individual Colombian Meals,Repas individuels colombiens,بيكادا كولومبية,تشكيلة من الموز الأخضر ولحم البطن والتشوريزو والمورسيلا وبطاطس كريولا وأريبا وإمبانادا، تقدم مع صلصة آخي.,Colombian Picada,"Assorted plantains, pork belly, chorizo, morcilla, Colombian baby potatoes, arepa and mini beef empanadas, served with Aji.",Picada colombienne,"Assortiment de plantains, poitrine de porc, chorizo, morcilla, petites pommes de terre colombiennes, arepa et mini-empanadas au bœuf, servi avec de l'Aji.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(2).jpeg,25.00
