Category Name AR,Category Name English,Category Name French,Item Name Arabic,Description Arabic,Item Name English,Description English,Item Name French,Description French,Item img URL,item Price
الأطباق الرئيسية,Main Dishes,Plats principaux,حواوشي,لحم متبل ومحشو داخل خبز مصري، يقدم مع المخلل.,Hawawshy,"Seasoned meat stuffed inside Egyptian bread, served with pickles.",Hawawshi,"Viande assaisonnée farcie dans un pain égyptien, servie avec des cornichons.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/4218ca1d09174218364162cd0b1a8cc1(3).jpeg,9.99
الأطباق الرئيسية,Main Dishes,Plats principaux,كشري دبل,أرز ومكرونة وحمص وبصل وصلصة طماطم، مع صلصة حارة على الجانب.,Koshary Double,"Rice, macaroni, chickpeas, onion and tomato sauce, with spicy sauce on the side.",Koshari Double,"Riz, macaroni, pois chiches, oignons et sauce tomate, avec sauce piquante à part.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/4218ca1d09174218364162cd0b1a8cc1.jpeg,14.99
الأطباق الرئيسية,Main Dishes,Plats principaux,كشري سنجل,أرز ومكرونة وحمص وبصل وصلصة طماطم، مع صلصة حارة على الجانب.,Koshary Single,"Rice, macaroni, chickpeas, onion and tomato sauce, with spicy sauce on the side.",Koshari Simple,"Riz, macaroni, pois chiches, oignons et sauce tomate, avec sauce piquante à part.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/4218ca1d09174218364162cd0b1a8cc1(2).jpeg,9.99
الأطباق الرئيسية,Main Dishes,Plats principaux,شاورما دبل,شاورما دجاج تقدم مع الأرز.,Shawerma Double,Chicken shawarma served with rice.,Shawarma Double,Shawarma de poulet servie avec du riz.,https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/4218ca1d09174218364162cd0b1a8cc1(5).jpeg,15.99
الأطباق الرئيسية,Main Dishes,Plats principaux,شاورما سنجل,شاورما دجاج تقدم مع الأرز.,Shawerma Single,Chicken shawarma served with rice.,Shawarma Simple,Shawarma de poulet servie avec du riz.,https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/4218ca1d09174218364162cd0b1a8cc1(4).jpeg,10.99
الأطباق الرئيسية,Main Dishes,Plats principaux,فول مدمس بالطحينة,فول مع الطحينة والحمص، يقدم مع خبز بيتا والمخلل.,Foul Medames with Tahini,"Fava beans with tahini and chickpeas, served with pita bread and pickles.",Foul Medames avec Tahini,"Fèves mijotées avec tahini et pois chiches, servies avec pain pita et cornichons.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/4218ca1d09174218364162cd0b1a8cc1(1).jpeg,6.99
الأطباق الرئيسية,Main Dishes,Plats principaux,فراخ مشوية على الطريقة المصرية - نصف فرخة,نصف دجاجة مشوية على الطريقة المصرية.,Egyptian Style Roasted Chicken - Half,Half chicken roasted Egyptian style.,Poulet rôti à l'égyptienne - Demi-poulet,Demi-poulet rôti à la manière égyptienne.,https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/a1681d67ebe55c76c3af5f401619c278.jpeg,24.99
الأطباق الرئيسية,Main Dishes,Plats principaux,فطيرة باللحمة,فطيرة محشوة باللحم.,Beef Pie,Savory pie filled with beef.,Pâté à la viande de bœuf,Pâté salé farci au bœuf.,https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/a1681d67ebe55c76c3af5f401619c278(1).jpeg,19.99
الأطباق الرئيسية,Main Dishes,Plats principaux,ملوخية,ملوخية مصرية مطبوخة بالطريقة التقليدية.,Molokhia,Traditional Egyptian-style cooked molokhia.,Molokhia,Molokhia cuisinée à la manière traditionnelle égyptienne.,,6.99
المشروبات,Drinks,Boissons,عصير أويسيس تفاح 300 مل,عصير تفاح أويسيس بحجم 300 مل.,Oasis Apple Juice 300 ml,"Oasis apple juice, 300 ml.",Jus de pomme Oasis 300 ml,"Jus de pomme Oasis, 300 ml.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/le-mechant-cuisinier/f0d1762b91fd823a1aa9bd0dab5c648d.jpeg,2.49
